The preprocessed data already exists, skip the preprocess stage!
Train Epoch 37 | class 1 | precision:0.8288 | recall: 0.8343 | f1: 0.8315
Eval Epoch 37 | class 1 | precision:0.5754 | recall: 0.7796 | f1: 0.6621
Train Epoch 38 | class 1 | precision:0.8291 | recall: 0.8444 | f1: 0.8367
Eval Epoch 38 | class 1 | precision:0.5276 | recall: 0.8379 | f1: 0.6475
Train Epoch 39 | class 1 | precision:0.8286 | recall: 0.8444 | f1: 0.8364
Eval Epoch 39 | class 1 | precision:0.4526 | recall: 0.8590 | f1: 0.5928
Train Epoch 40 | class 1 | precision:0.8314 | recall: 0.8602 | f1: 0.8456
Eval Epoch 40 | class 1 | precision:0.4664 | recall: 0.8671 | f1: 0.6066
Train Epoch 41 | class 1 | precision:0.8145 | recall: 0.8693 | f1: 0.8410
Eval Epoch 41 | class 1 | precision:0.4958 | recall: 0.8541 | f1: 0.6274
Train Epoch 42 | class 1 | precision:0.8222 | recall: 0.8468 | f1: 0.8343
Eval Epoch 42 | class 1 | precision:0.3940 | recall: 0.8914 | f1: 0.5464
Train Epoch 43 | class 1 | precision:0.8272 | recall: 0.8720 | f1: 0.8490
Eval Epoch 43 | class 1 | precision:0.5305 | recall: 0.8444 | f1: 0.6517
Train Epoch 44 | class 1 | precision:0.7994 | recall: 0.8397 | f1: 0.8191
Eval Epoch 44 | class 1 | precision:0.5324 | recall: 0.8379 | f1: 0.6511
Train Epoch 45 | class 1 | precision:0.8298 | recall: 0.8565 | f1: 0.8429
Eval Epoch 45 | class 1 | precision:0.4995 | recall: 0.8736 | f1: 0.6356
Train Epoch 46 | class 1 | precision:0.8128 | recall: 0.8579 | f1: 0.8347
Eval Epoch 46 | class 1 | precision:0.5635 | recall: 0.8558 | f1: 0.6795
Train Epoch 47 | class 1 | precision:0.8394 | recall: 0.8639 | f1: 0.8515
Eval Epoch 47 | class 1 | precision:0.5932 | recall: 0.8460 | f1: 0.6974
Train Epoch 48 | class 1 | precision:0.8485 | recall: 0.8733 | f1: 0.8607
Eval Epoch 48 | class 1 | precision:0.5691 | recall: 0.8671 | f1: 0.6872
Train Epoch 49 | class 1 | precision:0.8421 | recall: 0.8891 | f1: 0.8650
Eval Epoch 49 | class 1 | precision:0.5763 | recall: 0.8687 | f1: 0.6930
Train Epoch 50 | class 1 | precision:0.8321 | recall: 0.8528 | f1: 0.8423
Eval Epoch 50 | class 1 | precision:0.5102 | recall: 0.8947 | f1: 0.6498
Train Epoch 51 | class 1 | precision:0.8141 | recall: 0.8861 | f1: 0.8486
Eval Epoch 51 | class 1 | precision:0.4919 | recall: 0.8833 | f1: 0.6319
Train Epoch 52 | class 1 | precision:0.8091 | recall: 0.8431 | f1: 0.8257
Eval Epoch 52 | class 1 | precision:0.6068 | recall: 0.8104 | f1: 0.6940
Train Epoch 53 | class 1 | precision:0.8320 | recall: 0.8585 | f1: 0.8450
Eval Epoch 53 | class 1 | precision:0.5954 | recall: 0.8444 | f1: 0.6984
Train Epoch 54 | class 1 | precision:0.8416 | recall: 0.8804 | f1: 0.8606
Eval Epoch 54 | class 1 | precision:0.5791 | recall: 0.8720 | f1: 0.6960
Train Epoch 55 | class 1 | precision:0.8358 | recall: 0.8861 | f1: 0.8602
Eval Epoch 55 | class 1 | precision:0.6080 | recall: 0.8622 | f1: 0.7131
Train Epoch 56 | class 1 | precision:0.8503 | recall: 0.8878 | f1: 0.8687
Eval Epoch 56 | class 1 | precision:0.5602 | recall: 0.8898 | f1: 0.6875
Train Epoch 57 | class 1 | precision:0.8438 | recall: 0.8911 | f1: 0.8668
Eval Epoch 57 | class 1 | precision:0.4615 | recall: 0.8849 | f1: 0.6067
Train Epoch 58 | class 1 | precision:0.8633 | recall: 0.8847 | f1: 0.8739
Eval Epoch 58 | class 1 | precision:0.5761 | recall: 0.8347 | f1: 0.6817
Train Epoch 59 | class 1 | precision:0.8637 | recall: 0.8985 | f1: 0.8808
Eval Epoch 59 | class 1 | precision:0.5798 | recall: 0.8541 | f1: 0.6907
Train Epoch 60 | class 1 | precision:0.8651 | recall: 0.9073 | f1: 0.8857
Eval Epoch 60 | class 1 | precision:0.6545 | recall: 0.8444 | f1: 0.7374
###################Epoch 60 Test###################
  Test | Time 37 | precision:0.6098 | recall: 0.6250 | f1: 0.6173
  Test | Time 38 | precision:0.5854 | recall: 0.8649 | f1: 0.6982
  Test | Time 39 | precision:0.5776 | recall: 0.8272 | f1: 0.6802
  Test | Time 40 | precision:0.5800 | recall: 0.5179 | f1: 0.5472
  Test | Time 41 | precision:0.6869 | recall: 0.5862 | f1: 0.6326
  Test | Time 42 | precision:0.8454 | recall: 0.6862 | f1: 0.7575
  Test | Time 43 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 44 | precision:0.0833 | recall: 0.1250 | f1: 0.1000
  Test | Time 45 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 46 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 47 | precision:0.1111 | recall: 0.1364 | f1: 0.1224
  Test | Time 48 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 49 | precision:0.1667 | recall: 0.0179 | f1: 0.0323
  Test | Epoch 60 | class 1 | precision:0.5431 | recall: 0.5588 | f1: 0.5508
Train Epoch 61 | class 1 | precision:0.8574 | recall: 0.9029 | f1: 0.8795
Eval Epoch 61 | class 1 | precision:0.5549 | recall: 0.8768 | f1: 0.6796
Train Epoch 62 | class 1 | precision:0.8671 | recall: 0.9012 | f1: 0.8838
Eval Epoch 62 | class 1 | precision:0.6122 | recall: 0.8444 | f1: 0.7098
Train Epoch 63 | class 1 | precision:0.8701 | recall: 0.9116 | f1: 0.8904
Eval Epoch 63 | class 1 | precision:0.6357 | recall: 0.8428 | f1: 0.7247
Train Epoch 64 | class 1 | precision:0.8828 | recall: 0.9110 | f1: 0.8966
Eval Epoch 64 | class 1 | precision:0.6279 | recall: 0.8314 | f1: 0.7155
Train Epoch 65 | class 1 | precision:0.8722 | recall: 0.9083 | f1: 0.8899
Eval Epoch 65 | class 1 | precision:0.6900 | recall: 0.7504 | f1: 0.7189
Train Epoch 66 | class 1 | precision:0.8603 | recall: 0.8794 | f1: 0.8697
Eval Epoch 66 | class 1 | precision:0.4740 | recall: 0.8120 | f1: 0.5986
Train Epoch 67 | class 1 | precision:0.8399 | recall: 0.8888 | f1: 0.8637
Eval Epoch 67 | class 1 | precision:0.7100 | recall: 0.7699 | f1: 0.7387
###################Epoch 67 Test###################
  Test | Time 37 | precision:0.6800 | recall: 0.4250 | f1: 0.5231
  Test | Time 38 | precision:0.7339 | recall: 0.7207 | f1: 0.7273
  Test | Time 39 | precision:0.7231 | recall: 0.5802 | f1: 0.6438
  Test | Time 40 | precision:0.7333 | recall: 0.3929 | f1: 0.5116
  Test | Time 41 | precision:0.9091 | recall: 0.4310 | f1: 0.5848
  Test | Time 42 | precision:0.9462 | recall: 0.5146 | f1: 0.6667
  Test | Time 43 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 44 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 45 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 46 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 47 | precision:0.1250 | recall: 0.0455 | f1: 0.0667
  Test | Time 48 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 49 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Epoch 67 | class 1 | precision:0.7510 | recall: 0.4171 | f1: 0.5363
Train Epoch 68 | class 1 | precision:0.8529 | recall: 0.8632 | f1: 0.8580
Eval Epoch 68 | class 1 | precision:0.6158 | recall: 0.7455 | f1: 0.6745
Train Epoch 69 | class 1 | precision:0.7336 | recall: 0.6485 | f1: 0.6884
Eval Epoch 69 | class 1 | precision:0.6433 | recall: 0.7277 | f1: 0.6829
Train Epoch 70 | class 1 | precision:0.5792 | recall: 0.6109 | f1: 0.5946
